3,0,250,250,250,250,250,250,250,250,250
3,1,796,796,796,796,796,796,796,796,796
3,2,1316,1316,1316,1316,1316,1316,1316,1316,1316
3,3,1820,1820,1820,1820,1820,1820,1820,1820,1820
3,4,2330,2330,2330,2330,2330,2330,2330,2330,2330
3,5,2861,2861,2861,2861,2861,2861,2861,2861,2861
3,6,3438,3438,3438,3438,3438,3438,3438,3438,3438
3,7,3967,3967,3967,3967,3967,3967,3967,3967,3967
3,8,4482,4482,4482,4482,4482,4482,4482,4482,4482
3,9,5130,5130,5130,5130,5130,5130,5130,5130,5130
3,10,5556,5556,5556,5556,5556,5556,5556,5556,5556
3,11,5598,5598,5598,5598,5598,5598,5598,5598,5598
3,12,5324,5324,5324,5324,5324,5324,5324,5324,5324
3,13,5093,5093,5093,5093,5093,5093,5093,5093,5093
