4,0,250,250,250,250,250,250,250,250,250,250
4,1,796,796,796,796,796,796,796,796,796,796
4,2,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316
4,3,1820,1748,1762,1763,1774,1820,1781,1718,1776,1759
4,4,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330
4,5,2832,2770,2779,2805,2829,2861,2813,2760,2826,2814
4,6,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438
4,7,3921,3825,3837,3903,3921,3967,3908,3857,3932,3873
4,8,4482,4390,4424,4382,4403,4482,4423,4281,4416,4408
4,9,4996,4909,5041,5130,5130,5130,5130,5130,5130,5130
4,10,5556,5226,5265,5331,5462,5556,5457,5244,5466,5352
4,11,5536,5500,5540,5349,5545,5598,5666,5383,5508,5510
4,12,5324,5324,5324,5324,5324,5324,5324,5324,5324,5324
4,13,5093,5093,5093,5093,5093,5093,5093,5093,5093,5093
