2,0,244,244,244,244,244,244,244,244,244,244
2,1,752,1271,1009,750,750,750,750,750,750,750
2,2,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
2,3,1758,1756,1878,1749,1752,1749,1749,1749,1749,1749
2,4,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319
2,5,2824,2830,2955,2842,2852,2839,2846,2846,2848,2851
2,6,3347,3347,3347,3347,3347,3347,3347,3347,3347,3347
2,7,3799,3887,3789,3846,3811,3761,3782,3670,3793,3802
2,8,4116,4116,4116,4116,4116,4116,4116,4116,4116,4116
2,9,4579,4152,4259,4063,4300,4644,4424,4104,4199,4104
2,10,5060,5060,5060,5060,5060,5060,5060,5060,5060,5060
2,11,5001,4351,4380,4315,4364,5214,4610,4295,4531,4374
2,12,5044,5044,5044,5044,5044,5044,5044,5044,5044,5044
2,13,4793,4793,4793,5163,4935,4957,4987,5332,4913,5291
