1,0,253,253,253,253,253,253,253,253,253
1,1,755,755,755,755,755,755,755,755,755
1,2,1284,1284,1284,1284,1284,1284,1284,1284,1284
1,3,1679,1558,1454,865,1562,1560,1649,1508,1596
1,4,2373,2373,2373,2373,2373,2373,2373,2373,2373
1,5,2921,2921,2921,2921,2921,2921,2921,2921,2921
1,6,3488,3488,3488,3488,3488,3488,3488,3488,3488
1,7,3695,3695,3695,3695,3776,3696,3696,3656,3681
1,8,4341,4341,4341,4341,4341,4341,4341,4341,4341
1,9,4673,4673,4673,4673,4673,4673,4673,4673,4673,
1,10,4931,4931,4931,4931,4931,4931,4931,4931,4931
1,11,5258,6093,5954,5185,5073,5595,5089,5501,5472
1,12,4931,4931,4931,4931,4931,4931,4931,4931,4931
1,13,4808,4808,4808,4808,4808,4808,4808,4808,4808
