4,0,250,250,250,250,250,250,250,250,250,250
4,1,796,796,796,796,796,796,796,796,796,796
4,2,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316
4,3,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
4,4,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330
4,5,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861
4,6,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438
4,7,3967,3967,3967,3967,3967,3967,3967,3967,3967,3967
4,8,4482,4482,4482,4482,4482,4482,4482,4482,4482,4482
4,9,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130
4,10,5556,5556,5556,5556,5556,5556,5556,5556,5556,5556
4,11,5598,5598,5598,5428,5475,5598,5621,5224,5435,5598
4,12,5324,5324,5324,5324,5324,5324,5324,5324,5324,5324
4,13,5093,5093,5093,5093,5093,5093,5093,5093,5093,5093
