1,0,250,250,250,250,250,250,250,250,250
1,1,796,796,796,796,796,796,796,796,796
1,2,1316,1316,1316,1316,1316,1316,1316,1316,1316
1,3,1820,1820,1820,1820,1820,1820,1820,1820,1820
1,4,2330,2330,2330,2330,2330,2330,2330,2330,2330
1,5,2861,2861,2861,2861,2861,2861,2861,2861,2861
1,6,3438,3438,3438,3438,3438,3438,3438,3438,3438
1,7,3967,3967,3967,3967,3967,3967,3967,3967,3967
1,8,4482,4482,4482,4482,4482,4482,4482,4482,4482
1,9,5130,5130,5130,5130,5130,5130,5130,5130,5130
1,10,5556,5556,5556,5556,5556,5556,5556,5556,5556
1,11,5598,5598,5598,5598,5598,5598,5598,5598,5598
1,12,5324,5324,5324,5324,5324,5324,5324,5324,5324
1,13,5093,5093,5093,5093,5093,5093,5093,5093,5093
